Player,IP,BF,ERA,FIP,WHIP,K%,BB%,GB%,FB%,SO/BB,WAR,HR9,Whiff%,Swing%,PutAway%,League
Hunter Dobbins,61.0,256,4.13,3.87,1.279,17.6,6.6,48.4,19.8,2.65,0.4,0.9,,,,MLB
JoJo Romero*,61.0,255,2.07,3.28,1.246,21.6,11.4,55.4,18.5,1.9,1.7,0.3,,,,MLB
Sean Manaea*,60.2,263,5.64,4.39,1.22,28.5,4.6,35.5,24.9,6.25,-0.4,1.9,,,,MLB
Pete Fairbanks,60.1,244,2.83,3.63,1.044,24.2,7.4,44.6,24.7,3.28,1.2,1.0,,,,MLB
Calvin Faucher,60.1,255,3.28,4.25,1.276,23.1,9.4,45.0,23.1,2.46,0.8,1.2,,,,MLB
Matt Svanson,60.1,234,1.94,2.72,0.878,29.1,8.5,42.3,24.6,3.4,1.8,0.4,,,,MLB
Gregory Soto*,60.1,279,4.18,3.42,1.425,25.1,8.6,43.1,24.1,2.92,-0.1,0.6,,,,MLB
Rafael Montero,60.1,253,4.48,4.13,1.309,22.9,14.6,48.1,25.9,1.57,-0.1,0.7,,,,MLB
Brenan Hanifee,60.0,260,3.0,3.25,1.317,15.4,5.4,55.4,17.6,2.86,0.0,0.5,,,,MLB
Orion Kerkering,60.0,266,3.3,3.82,1.367,24.4,10.2,42.9,25.3,2.41,0.9,0.9,,,,MLB
Justin Topa,60.0,268,3.9,3.04,1.433,18.3,6.7,46.7,17.8,2.72,0.4,0.3,,,,MLB
Alex Vesia*,59.2,237,3.02,3.77,0.989,33.8,9.3,28.5,29.2,3.64,1.1,1.4,,,,MLB
Kenley Jansen,59.0,234,2.59,3.98,0.949,24.4,8.1,26.8,43.3,3.0,2.4,1.2,,,,MLB
Pierce Johnson,59.0,238,3.05,3.92,1.203,24.8,8.0,34.6,31.4,3.11,1.1,1.2,,,,MLB
Bradley Blalock,58.2,275,9.36,7.31,1.841,9.8,8.4,40.1,31.1,1.17,-1.6,2.6,,,,MLB
Angel Chivilli,58.2,275,7.06,6.03,1.688,15.6,8.4,49.8,23.2,1.87,-0.7,2.0,,,,MLB
Yennier Cano,58.0,251,5.12,4.27,1.483,21.1,9.6,53.5,17.6,2.21,-0.4,1.1,,,,MLB
Tyler Ferguson,58.0,246,4.66,4.14,1.328,22.0,13.8,36.4,33.1,1.59,0.2,0.6,,,,MLB
Caleb Thielbar*,58.0,220,2.64,3.0,0.879,25.5,5.9,39.7,30.5,4.31,1.1,0.8,,,,MLB
Austin Gomber*,57.2,272,7.49,6.5,1.717,12.5,6.3,33.2,37.3,2.0,-0.7,2.5,,,,MLB
Brandon Young,57.2,256,6.24,5.36,1.543,18.4,8.6,43.3,28.9,2.14,-0.6,1.9,,,,MLB
Jalen Beeks*,57.1,231,3.77,4.01,1.081,20.3,8.7,45.7,27.8,2.35,0.9,0.9,,,,MLB
